# LEMpy target file for YOR083W, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:20 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(YDR451C)	311.77808351035185	0.24127	1.0	0.0625	0.15859609120821885	0.01626679462360623	2.5769223031549764	86.35337290471992	2.3730498557438593	[1, 1, 1.2035031644115022, 8.888791405845792, 5331031.766707023]	57029717.67553033	0.0	3.139999999923759e-05	0.3511179999999996
tf_act(YER111C)	270.2509839530855	0.126646	1.0	0.0625	0.3	0.010312487247472114	16.404844778889107	100.0	10.0	[1, 1, 1, 6.931516274647389, 5330860.117077291]	36950943.65938993	3.0	3.4900000000170905e-05	0.28294330000000123
tf_rep(YIL131C)	308.1003991069161	0.0829342	1.0	0.0625	0.0	0.014299274381799789	0.976473647881508	66.03887430971103	1.7413628256480436	[1, 1, 1.685664099788234, 16.544911563466393, 5331742.838331211]	148697847.5273435	1.0	4.4700000000119644e-05	0.32736389999999993
tf_act(YDL056W)	312.69964277026145	0.0692089	1.0	0.0625	0.0	0.0018172697789572275	0.0	99.90909219775727	7.022184881688118	[1, 1, 1.0800731777137944, 7.141065219518066, 5330868.547964122]	41116312.110965826	2.0	3.419999999998424e-05	0.31976150000000025
tf_rep(YDL056W)	299.56763609419204	0.0634983	1.0	0.0625	0.0	0.00850754272012259	2.448461723617681	47.641821734350145	10.0	[1, 1, 2.1222210615613895, 9.145289793643332, 5330903.347762161]	103463913.3218459	2.0	5.260000000006926e-05	0.2882012000000014
tf_act(YCR065W)	266.736088987774	0.0612673	1.0	0.0625	0.0	0.05859686922477954	13.572734009879648	100.0	1.6676070276884605	[1, 1, 1.750274756193049, 83.81222469631322, 5335251.639870934]	782651650.9809101	2.0	3.3300000000124896e-05	0.3270187
tf_rep(YNL068C)	290.56247545135807	0.0468557	1.0	0.0625	0.0	0.00956988511702953	2.0498614378489717	36.01024853455878	10.0	[1, 1, 4.679063313666927, 12.867929992513197, 5330939.829255431]	320975136.26087445	2.0	3.4799999999890474e-05	0.30573669999999886
tf_act(YNL068C)	312.69964277026577	0.0452339	1.0	0.0625	0.0	0.0018172696195620963	0.0	89.66687478207514	4.016993583934386	[1, 1, 2.139633644286905, 8.438602317981802, 5330892.110691047]	96252015.42369133	2.0	3.740000000007626e-05	0.2999211000000006
tf_rep(YML027W)	312.69964277022024	0.0446178	1.0	0.0625	0.0	0.001817271813975991	0.0	69.93459666733854	1.8875976724618257	[1, 1, 1.0396918198558776, 17.84458402981427, 5332243.772697995]	98928415.09612595	2.0	3.129999999984534e-05	0.31483439999999874
tf_rep(YER111C)	312.6996427702596	0.0426739	1.0	0.0625	0.0	0.0018172698578162547	0.0	68.24240986945969	1.5728686958230502	[1, 1, 1.9455748234282764, 10.425438759807406, 5331755.31685907]	108146505.2777963	2.0	3.3199999999844465e-05	0.32453150000000086
tf_act(YML027W)	251.05679946309778	0.0407356	1.0	0.0625	0.0	0.06045506876646988	13.64238636235678	63.63050074039426	1.0	[1, 1, 2.6684059971970346, 329.09087043114425, 5342704.887194536]	4691685890.603437	2.0	3.140000000012577e-05	0.3813810000000011
tf_act(YOR083W)	304.518145570583	0.0333637	1.0	0.0625	0.3	0.20488198954211026	27.806062422065246	66.45303952976315	2.0564500771950796	[1, 1, 1, 211.41074457429846, 5333200.272462399]	1127495840.5651271	1.0	3.189999999975157e-05	0.31960239999999907
tf_rep(YDR451C)	312.6996427702572	0.0303133	1.0	0.0625	0.0	0.0018172699525303279	0.0	64.16299587111477	1.0	[1, 1, 1, 10.050124742907434, 5331383.97367607]	53581073.987782024	3.0	3.119999999956491e-05	0.29230670000000103
tf_rep(YOR083W)	312.69964277026565	0.0294923	1.0	0.0625	0.0	0.0018172696204456274	0.0	62.38640163080214	1.0	[1, 1, 1, 10.617498598240838, 5331366.072390346]	56605771.80031326	3.0	3.2000000000032e-05	0.28230220000000017
tf_rep(YCR065W)	312.69964277026565	0.0216819	1.0	0.0625	0.0	0.0018172696205211731	0.0	22.89592906859204	1.0	[1, 1, 2.391749873059949, 8.214018670115957, 5331048.637068356]	104733131.73065308	3.0	3.9199999999794954e-05	0.27643400000000007
tf_act(YIL131C)	312.69964277019994	0.0202075	1.0	0.0625	0.0	0.0018172749818529	0.0	96.67110304139695	1.0	[1, 1, 3.3497706542386685, 6.751980772665796, 5331000.833606746]	120574375.41910714	3.0	0.0001071999999995299	0.2641454000000003
null_model	312.6996427702661				0.0	0.0018172696083613704								
