# LEMpy target file for YIL131C, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:17 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(YCR065W)	89.50212230924977	0.731375	1.0	0.0625	0.0	0.10342255089101599	27.71984385506727	100.0	2.5683710143124627	[1, 1, 2.668859988778327, 237.16517771431722, 2917648.5075220503]	1846756706.1014469	2.0	5.340000000009226e-05	0.32347079999999995
tf_act(YDR451C)	136.3183541696127	0.172797	1.0	0.0625	0.3	0.17191493429548332	21.47082750844388	65.65944265749445	4.409233220910382	[1, 1, 3.6875402684538914, 146.84845987996337, 2911767.6080971155]	1576750139.4481306	1.0	6.539999999999324e-05	0.35623170000000015
tf_act(YML027W)	136.20898747189648	0.0765175	1.0	0.0625	0.0	0.07664387260945882	20.936834893860016	70.1631632100054	1.487117204057106	[1, 1, 5.9338335529236375, 468.0599614928292, 2922437.08216236]	8116747247.909638	1.0	3.269999999999662e-05	0.34372749999999996
tf_act(YER111C)	207.83420863164764	0.0090048	1.0	0.0625	0.3	0.018100569783873553	32.254096107518116	100.0	10.0	[1, 1, 2.0546713629982443, 25.25013900950006, 2910956.7397035733]	151022582.58697483	3.0	3.210000000009039e-05	0.3525501
tf_act(YOR083W)	224.5190339529964	0.0084012	1.0	0.0625	0.3	0.08107046889901512	10.17791100659407	66.48600595559573	10.0	[1, 1, 2.6854024358628643, 28.53429186793594, 2911142.555266139]	223069375.04825196	2.0	3.100000000011427e-05	0.3135842
tf_act(YNL068C)	363.2883950737412	0.000487914	1.0	0.0625	0.23662007616095035	0.011365241717934202	3.0798147431297185	99.48149843098399	10.0	[1, 1, 1, 26.178605735334912, 2910957.4400851014]	76204807.13632767	1.0	4.2799999999898475e-05	0.31514510000000007
tf_act(YIL131C)	339.7604547648896	0.000428125	1.0	0.0625	0.3	0.016309455152492894	3.3421127261501598	75.37811847842602	10.0	[1, 1, 1, 29.819529923712587, 2910965.599752267]	86803625.80871068	2.0	0.0018089999999999495	0.3261398
tf_rep(YDL056W)	366.4986531816828	0.000189558	1.0	0.0625	0.0	0.0024764628973359525	0.0	65.95007812727339	1.4170887527861833	[1, 1, 1, 36.646587875644926, 2911412.101044841]	106693319.40315579	2.0	3.269999999999662e-05	0.2953836999999999
tf_rep(YNL068C)	366.4986531816731	0.000149061	1.0	0.0625	0.0	0.0024764659146313474	0.0	69.24867537701165	2.6934974259622884	[1, 1, 1, 59.25718226515511, 2911755.338462984]	172542416.80283946	2.0	3.580000000003025e-05	0.2936961
tf_rep(YML027W)	366.4986531816731	0.000128707	1.0	0.0625	0.0	0.002476465368158934	0.0	69.61931324741965	2.4456597587141102	[1, 1, 1.4164212951945523, 56.10099092583478, 2912427.1535691572]	231429145.27199984	2.0	3.249999999987985e-05	0.38956820000000025
tf_act(YDL056W)	363.30368537306856	0.000123372	1.0	0.0625	0.3	0.015148704702687582	5.233912382487725	100.0	10.0	[1, 1, 1, 25.57010534510722, 2910959.979513101]	74433553.33154114	3.0	3.470000000005413e-05	0.3289837999999998
tf_rep(YOR083W)	366.4986531816992	0.0000886891	1.0	0.0625	0.0	0.002476461264524101	0.0	67.45167318023589	2.2361046518511003	[1, 1, 4.142917386460321, 40.405799389005324, 2911608.2478572084]	487397073.7113534	2.0	3.1800000000137274e-05	0.2917175000000001
tf_rep(YER111C)	366.4986531816734	0.0000868929	1.0	0.0625	0.0	0.002476465029022141	0.0	69.14107711599654	2.6932636851661567	[1, 1, 3.740231368749645, 46.61781744666153, 2912085.6791745024]	507755403.37496	2.0	3.1800000000137274e-05	0.3324262
tf_rep(YIL131C)	366.49865318167963	0.0000862947	1.0	0.0625	0.0	0.0024764633818498737	0.0	69.21739837764967	2.6588872350219823	[1, 1, 2.896357571707103, 61.03915244737853, 2912017.2769357534]	514819061.895231	2.0	6.580000000000474e-05	0.31116750000000004
tf_rep(YDR451C)	366.49865318170924	0.0000768722	1.0	0.0625	0.0	0.0024764605126974676	0.0	67.91962861824622	1.7091709475367562	[1, 1, 5.680882357233758, 39.22294228392772, 2911579.466223937]	648760817.7033492	2.0	3.579999999980821e-05	0.2850815999999998
tf_rep(YCR065W)	366.4986531816734	0.0000593654	1.0	0.0625	0.0	0.002476465016415171	0.0	61.29721761933394	1.2535797052252617	[1, 1, 9.79573715868101, 38.14147500303753, 2911527.9258820256]	1087816313.7367072	2.0	4.129999999991085e-05	0.27698599999999995
null_model	366.49865318170924				0.0	0.0024764604956808624								
