# LEMpy target file for YDL056W, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:18 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_act(YCR065W)	65.67423850030028	0.442945	1.0	0.0625	0.0	0.06620095658630132	11.393372946652748	61.13572099846327	2.4735886029306986	[1, 1, 2.6507832196391394, 62.42115500186469, 7042120.806463618]	1165224168.7511828	1.0	5.279999999974194e-05	0.36670979999999975
tf_act(YOR083W)	104.10713775116861	0.137992	1.0	0.0625	0.0	0.03448201134195036	8.367240130469089	81.20988717899444	3.191662823319082	[1, 1, 1.536943594707477, 16.657516472783215, 7041795.655836605]	180281681.03194776	1.0	3.529999999996036e-05	0.4310678000000001
tf_act(YDR451C)	96.35458107320315	0.118376	1.0	0.0625	0.3	0.06246489028588505	13.727450762058076	82.18208142891046	2.5596228870527704	[1, 1, 1.0757113344988192, 70.15147933001644, 7043014.712088412]	531485198.22686005	1.0	3.899999999967818e-05	0.5971857000000007
tf_act(YER111C)	112.67794172694434	0.0882847	1.0	0.0625	0.3	0.009354717401654443	14.501842180418727	99.96964522893757	10.0	[1, 1, 1, 6.863890575311498, 7041444.725498119]	48331706.0879234	2.0	5.489999999985784e-05	0.36526299999999967
tf_act(YML027W)	90.1275633128686	0.0628784	1.0	0.0625	0.0	0.044924822254184274	13.775592946576788	77.16854325590268	1.0481007376738343	[1, 1, 2.015010381686442, 252.60438857257668, 7053525.070451757]	3590247543.805381	1.0	3.2000000000032e-05	0.5299899000000003
tf_act(YIL131C)	131.7245103654039	0.0322913	1.0	0.0625	0.3	0.009419263683239951	3.141768247147872	85.7280617784219	10.0	[1, 1, 1, 9.147897329562888, 7041448.39604212]	64414446.97840858	2.0	0.00011409999999978382	0.2844933999999997
tf_act(YNL068C)	139.86739657393278	0.0238586	1.0	0.0625	0.3	0.008834969193787429	2.64608898248765	97.85699902284114	10.0	[1, 1, 1, 8.331003786824724, 7041447.6712007895]	58662327.21350191	2.0	3.799999999998249e-05	0.3536212000000001
tf_rep(YDL056W)	145.03640935958097	0.0154261	1.0	0.0625	0.0	0.002288108851454906	0.0	67.2235227221599	1.826529106434264	[1, 1, 1, 12.922608437580523, 7041933.089097178]	91000143.95404467	2.0	3.6600000000053257e-05	0.33430559999999954
tf_act(YDL056W)	140.753465092135	0.0121541	1.0	0.0625	0.3	0.00961555282914459	4.065997181573986	100.0	10.0	[1, 1, 1, 7.447225467616981, 7041448.618814979]	52439255.48295533	3.0	3.950000000019216e-05	0.3626309999999995
tf_rep(YNL068C)	145.03640935960036	0.0112431	1.0	0.0625	0.0	0.002288108231609077	0.0	69.66377151789023	2.5903840565841514	[1, 1, 1, 24.325974856241352, 7042256.609641294]	171309757.21733359	2.0	3.4900000000170905e-05	0.3416192999999996
tf_rep(YCR065W)	145.03640935960854	0.0107213	1.0	0.0625	0.0	0.0022881079903273684	0.0	0.1990006128962455	1.0	[1, 1, 1, 6.688605181241858, 7041444.100814108]	47097439.49613015	3.0	3.8700000000169155e-05	0.2615755999999996
tf_rep(YER111C)	145.03640935960854	0.0107137	1.0	0.0625	0.0	0.002288107990717849	0.0	69.05805120164406	2.5410006741046276	[1, 1, 1.761551461067457, 15.207192279415164, 7042560.83164453]	188657892.72376037	2.0	4.4799999999955986e-05	0.35103499999999954
tf_rep(YOR083W)	145.03640935960854	0.0103382	1.0	0.0625	0.0	0.0022881079901491156	0.0	0.5589759509214476	1.0	[1, 1, 1.0752982486094458, 6.689779059330876, 7041444.283657699]	50652683.71644319	3.0	6.090000000025242e-05	0.38378390000000007
tf_rep(YIL131C)	145.0364093595222	0.0100033	1.0	0.0625	0.0	0.002288112440205383	0.0	69.71916913223568	3.1995256441110502	[1, 1, 1.1910850758971292, 25.798150158942455, 7042607.853076049]	216403786.7120381	2.0	4.450000000000287e-05	0.2865468
tf_rep(YDR451C)	145.03640935960848	0.00958584	1.0	0.0625	0.0	0.0022881079916979197	0.0	64.738112663954	1.498851530635379	[1, 1, 2.944783599187195, 11.364306028016259, 7042020.28481466]	235664180.6163209	2.0	3.360000000007801e-05	0.4783046999999998
tf_rep(YML027W)	145.0364093596085	0.00318777	1.0	0.0625	0.0	0.0022881079905798696	0.0	55.515698075424254	1.0	[1, 1, 4.563927515232667, 16.575313276569442, 7042382.317075288]	532745858.2699943	3.0	3.2200000000148776e-05	0.2976049000000005
null_model	145.03640935958532				0.0	0.0022881087043560124								
