# LEMpy target file for YDR451C, replicate 0 
# Run configuration file:  /mnt/c/users/sophi/Desktop/wavepool_LEM/results_tfs_sophie/edge_finding_20211118122401/lempy_20211118122401_config.txt 
# Time series data file:   /mnt/c/users/sophi/Desktop/wavepool_LEM/RSEM_TPM_timeseries.tsv 
# Computed on:  2021-11-18 12:24:20 
 
model	loss	pld	inv_temp	prior	rhs_param_0	rhs_param_1	rhs_param_2	rhs_param_3	rhs_param_4	hess_eigs	hess_det	bnd_params	pld_time	opt_time
tf_rep(YIL131C)	164.82687706069473	0.638826	1.0	0.0625	0.0	0.027130428911240723	17.3072156497704	15.198201734196628	3.354382018711121	[1, 1, 4.383000566102156, 43.123960085708106, 5066953.456853453]	957716736.9903901	1.0	4.489999999979233e-05	0.3492767000000008
tf_act(YCR065W)	198.97783062149404	0.212641	1.0	0.0625	0.00034250349805923814	0.15331784199858176	30.222464868265785	94.76663722005611	1.4523224086266395	[1, 1, 1.048875919023294, 513.3264739912598, 5090361.5926365685]	2740730992.9582753	0.0	3.2800000000499097e-05	0.3174747999999994
tf_act(YER111C)	251.95548555823072	0.0318979	1.0	0.0625	0.0	0.037981874913491497	15.015328011402858	100.0	2.009098746161478	[1, 1, 1, 43.81682989556285, 5069248.093339808]	222118381.40427667	2.0	3.4300000000264674e-05	0.3457762000000013
tf_act(YML027W)	201.79366187193824	0.0281546	1.0	0.0625	0.3	0.11553951506266727	21.77515219945538	52.97249960313919	1.0	[1, 1, 1.7759688380409135, 885.6360617353712, 5091684.201464278]	8008516838.273831	2.0	3.129999999984534e-05	0.2993496000000011
tf_act(YOR083W)	316.0366452371211	0.0227299	1.0	0.0625	0.0	0.013878998073577675	2.431245222778289	87.82880852507687	1.8355470858688117	[1, 1, 1, 7.659874629645588, 5066273.3879044745]	38807018.990858085	1.0	3.469999999961004e-05	0.3208845999999994
tf_act(YDR451C)	308.86151720003727	0.0165368	1.0	0.0625	0.3	0.034954989759565874	6.509718672334761	83.02039020764212	2.77262601017091	[1, 1, 1.1369377157305005, 19.1008375181569, 5066440.431708923]	110025164.0309326	1.0	3.179999999947114e-05	0.32517819999999986
tf_rep(YDR451C)	316.63586480046524	0.0101691	1.0	0.0625	0.0	0.003045345335096458	0.2448814496423644	62.87240674361306	1.0	[1, 1, 1, 9.249743241852666, 5066565.718199635]	46864432.01131947	2.0	3.140000000012577e-05	0.3093318000000007
tf_rep(YNL068C)	298.7848293557334	0.00672357	1.0	0.0625	0.0	0.008141076361301207	1.4304556333649348	39.15303265726845	10.0	[1, 1, 2.811422820886844, 20.825940560608835, 5066194.189483701]	296628327.3096405	2.0	3.499999999956316e-05	0.35084870000000024
tf_rep(YDL056W)	312.35760015589284	0.00559706	1.0	0.0625	0.0	0.007169784843940929	0.5788304163444369	67.61291770491373	10.0	[1, 1, 1.2612836076551823, 30.81241932031638, 5066707.810103189]	196908475.9302029	2.0	4.4099999999325235e-05	0.3607092999999999
tf_rep(YOR083W)	316.7337854160831	0.00510085	1.0	0.0625	0.0	0.0005750071803201584	0.0	60.9380527148207	1.0	[1, 1, 1, 9.140403439501398, 5066546.919117753]	46310282.88589913	3.0	3.3199999999844465e-05	0.2628410999999993
tf_act(YNL068C)	316.73378541608866	0.00500875	1.0	0.0625	0.0	0.0005750069529275173	0.0	100.0	3.8600816483721547	[1, 1, 1.2624960206952913, 7.509339587086306, 5066069.554149499]	48028929.8915192	3.0	3.679999999928185e-05	0.33749129999999994
tf_act(YIL131C)	316.733785416026	0.004566	1.0	0.0625	0.0	0.0005750122491244357	0.0	99.49236082991354	1.0	[1, 1, 1.917301582135247, 5.950036197390965, 5066186.314782334]	57795123.46850053	3.0	0.0001091000000004172	0.2819616000000007
tf_rep(YML027W)	316.73378541608866	0.00432129	1.0	0.0625	0.0	0.0005750069529275173	0.0	64.28444395934528	1.4305346173215279	[1, 1, 3.014707847908355, 16.89576481082064, 5067246.9418275235]	258104250.28591815	2.0	3.24999999996578e-05	0.29153499999999966
tf_act(YDL056W)	316.73378541605774	0.00303351	1.0	0.0625	0.0	0.0005750083789109831	0.0	100.0	10.0	[1, 1, 1, 6.461630678045839, 5066053.058670239]	32734963.860511567	4.0	5.110000000030368e-05	0.281972399999999
tf_rep(YER111C)	316.73378541602654	0.0023532	1.0	0.0625	0.0	0.0005750124576623419	0.0	62.38539410311547	1.0	[1, 1, 4.230899880105217, 10.150440429584176, 5066741.34877641]	217593726.389485	3.0	4.5799999999651675e-05	0.33329520000000024
tf_rep(YCR065W)	316.73378541608866	0.00234047	1.0	0.0625	0.0	0.0005750069529275173	0.0	62.41958772251166	1.0	[1, 1, 3.8530246751033386, 11.267734384137263, 5066609.793117552]	219966147.82350168	3.0	3.3199999999844465e-05	0.2688120999999999
null_model	316.7337854160861				0.0	0.0005750070544539577								
